Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Bathtub features (product.metafields.shopify.bathtub-features),Blade material (product.metafields.shopify.blade-material),Coating/Sealant application (product.metafields.shopify.coating-sealant-application),Color (product.metafields.shopify.color-pattern),Connecting thread (product.metafields.shopify.connecting-thread),Door closer design (product.metafields.shopify.door-closer-design),Drain location (product.metafields.shopify.drain-location),Durability features (product.metafields.shopify.durability-features),Flush system (product.metafields.shopify.flush-system),Furniture/Fixture material (product.metafields.shopify.furniture-fixture-material),Handle material (product.metafields.shopify.handle-material),Hardware finish (product.metafields.shopify.hardware-finish),Hardware material (product.metafields.shopify.hardware-material),Item condition (product.metafields.shopify.item-condition),Item material (product.metafields.shopify.item-material),Light temperature (product.metafields.shopify.light-temperature),Lubricant dispenser type (product.metafields.shopify.lubricant-dispenser-type),Masonry product form (product.metafields.shopify.masonry-product-form),Material (product.metafields.shopify.material),Mounting type (product.metafields.shopify.mounting-type),Power source (product.metafields.shopify.power-source),Recommended use (product.metafields.shopify.recommended-use),Security level (product.metafields.shopify.security-level),Shape (product.metafields.shopify.shape),Style (product.metafields.shopify.style),Suitable for door type (product.metafields.shopify.suitable-for-door-type),Suitable for material type (product.metafields.shopify.suitable-for-material-type),Suitable space (product.metafields.shopify.suitable-space),Toilet shape (product.metafields.shopify.toilet-shape),Wall patching application (product.metafields.shopify.wall-patching-application),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
vanity-and-ceramic-top-2-door-24x14-2x31-5n-white,Vanity and Ceramic Top 2-Door 24x14.2x31.5n White,"<ul class=""unstyled"">
<li class=""information-attribute""><span class=""attribute-title"">Features :</span></li>
<li class=""information-attribute""><span class=""attribute-value"">Dimensions WxDxH: 24inx14.2inx31.5in </span></li>
<li class=""information-attribute""><span class=""attribute-value"">Vanity Base Material: MDF</span></li>
<li class=""information-attribute""><span class=""attribute-value"">Base Finish Colour: WHITE</span></li>
<li class=""information-attribute""><span class=""attribute-value""> Number Of Doors: 2</span></li>
<li class=""information-attribute""><span class=""attribute-value"">Number of Drawers: 0</span></li>
<li class=""information-attribute""><span class=""attribute-value"">Vanity Top Material: CERAMIC</span></li>
<li class=""information-attribute""><span class=""attribute-value"">Feature: Soft close door</span></li>
<li class=""information-attribute"">
<span class=""attribute-title"">Brand Name :</span><span> </span><span class=""attribute-value"">ToWo</span>
</li>
</ul>",FaucetWorld,Furniture > Cabinets & Storage > Vanities,,,true,Title,Default Title,,,,,,,,,0.0,shopify,2,deny,manual,259.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/rn-image_picker_lib_temp_38b926cc-6514-49c7-a011-96d52007cf06.jpg?v=1718408859,1,,false,,,,,,,,,,,,,,,,,,,white,,,,,,ceramic,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
untitled-jun14_19-00,"Shower Glass Doors for Bathtub 59"" X 60""","<p>Glass Shower Doors for Bathtubs:</p>
<p>8mm Tempered Glass</p>
<p>304 Stainless Steel Hardware </p>
<p>with Wall Profile</p>
<p>Magnetic Coating Strip</p>
<p>L-Shaped Handle</p>
<p>Left Right Reversible Installation</p>
<p>Double Side Easy Clean with Nano Coated</p>
<p>Comes in Chrome, Black</p>
<p><span>Nano Coated Glass is a type of glass with robust-performance, long-lasting, easy-to-clean nano technology protective coating which makes the product stronger, durable and resilient. Their repellent properties ensure that water and dirt stay away, making them low maintenance.</span></p>",FaucetWorld,Hardware > Plumbing > Plumbing Fixture Hardware & Parts > Shower Parts > Shower Doors & Enclosures > Sliding Doors,,,true,Color,Chrome,,,,,,,,,0.0,shopify,1,deny,manual,364.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/WhatsAppImage2024-02-26at12.47.29PM-1-1.jpg?v=1718406366,1,,false,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
shower-glass-door-60x72,Shower Glass Door 60x72,"<p>Glass Shower Door </p>
<p>with 8mm Tempered Glass</p>
<p>Stainless Steel 304 Hardware </p>
<p>Size 60 x 72 inches</p>
<p>with Wall Profile</p>
<p>Magnetic Coating Strip</p>
<p>L-Shaped Handle</p>
<p>Left Right Reversible Installation</p>
<p>Double Side Easy Clean with Nano Coated</p>
<p>Comes in Chrome, Black and Gold</p>
<p><span>Nano Coated Glass is a type of glass with robust-performance, long-lasting, easy-to-clean nano technology protective coating which makes the product stronger, durable and resilient. Their repellent properties ensure that water and dirt stay away, making them low maintenance.</span></p>",FaucetWorld,Hardware > Plumbing > Plumbing Fixture Hardware & Parts > Shower Parts > Shower Doors & Enclosures > Sliding Doors,,,true,Color,Chrome,,,,,,,,,0.0,shopify,1,deny,manual,399.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/rn-image_picker_lib_temp_ea0fe53d-d7de-409a-9174-409a3c531c44.jpg?v=1718404443,1,,false,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/WhatsAppImage2024-02-26at12.47.29PM-3-1.jpg?v=1718405134,kg,,,active
coming-soon,Pull Out Kitchen Faucets Single Hole ( 5 colors ),"<ul>
<li>Pull Out Kitchen Faucets Single Hole Single Handle</li>
<li>Dual function spray head with easy to clean rubber nozzles providing aerated stream water, powerful pre-rinse spray to clean the tray, and thoroughly rinse your sink</li>
<li><span>Various sprayer setting,  bring the excellent experience. The spout can rotate 360 degrees, can reach every place of the kitchen sink, making your cleaning job unbelievably easy</span></li>
<li><span>High Quality Ceramic Cartridge: patented sealing technology reduces leak points and lasts twice as long as the industry standard, ensuring no leaks throughout the life of the kitchen faucet (industry standard based on ASME A112.18.1, over 500,000 cycles)</span></li>
<li><span>Sturdy construction: Made of the High standard brass construction, cUPC, and NSF certified, guarding your water safety</span></li>
<li>500 000+  24h acid salt spray test, pressure system test; 200 hours neutral salt spray test</li>
<li>Multi-layer plating</li>
<li>CUPC Certified , NSF/ANSI 61 Certified, AB1953 Certified </li>
<li>Available in : Chrome , Brushed Nickel, Black , Brushed Gold, Black + Brushed Gold</li>
<li>Installation hardware and manual included in the box</li>
<li> 5 YEAR WARRANTY.</li>
</ul>",FaucetWorld,Hardware > Plumbing > Plumbing Fixtures > Faucets > Kitchen Sink Faucets,Pull Out Kitchen Faucets,,true,Color,Matt Black,,,,,,,,,0.0,shopify,30,deny,manual,169.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/20241114-225035.jpg?v=1731642889,1,,false,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/background-editor-output_0d7186fb-c293-496a-8dfb-a379ea75446c.png?v=1731642890,kg,,,active
widespread-lavatory-faucet-dual-marble-handles,Widespread Lavatory Faucet Dual Marble Handles,"<ul class=""a-unordered-list a-vertical a-spacing-none"">
<li class=""a-spacing-mini""><span class=""a-list-item"">✔️ 3-HOLE BATHROOM FAUCET – Our modern widespread 3-hole bathroom faucet design is sought after by home owners and contractors everywhere.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">✔️ SLEEK MODERN DESIGN – The stunning contemporary design of this basin faucet will upgrade any bathroom. The tasteful gold and marble accents are sure to give your bathroom a sleek and sophisticated look.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">✔️ HEAVY MARBLE KNOBS – Our marble knobs add a level of luxury and substance to your bathroom experience. Our separate hot and cold knobs allow for the perfect temperature mix and are clearly labeled “hot” and “cold” for your convenience.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">✔️ This widespread faucet comes in a gorgeous Chrome , Brushed Nickel , Black , Brushed Gold , Rose Gold colors. You can choose from a variety of other finishes.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">✔️ Limited Lifetime Warranty</span></li>
</ul>",FaucetWorld,Hardware > Plumbing > Plumbing Fixtures > Faucets,,,true,Color,Chrome,,,,,,,,,0.0,shopify,8,deny,manual,324.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/react-native_image_overlay_Jun_16_2023_3_56_18_p.m..jpg?v=1717900912,1,,false,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
untitled-jun7_22-40,Vanity Faucets Single Hole (4 Colors),"<p><span>Single Hole , Single Handle ,Bathroom Faucets</span><br><span>• Available colors : Chrome, Black,Brushed Gold,Brushed Nickel</span><br><span>• Installation Type: Deck Mounted, Single Hole</span><br><span>• Ceramic Valve Core Material</span><br><span>• Hot and Cold</span><br><span>• Brass Material</span><br><span>• Elegant Design</span><br><span>• Ceramic Cartridge</span><br><span>• 500 000+ Open and Close                      •Honeycomb bubling water outlet, water is softer and more skin friendly</span><br><span>• Installation hardware, included in the box.</span><br><span>• Warranty: 5 Years</span><br><span>• Not Included: Drain, Plate Cover</span></p>",FaucetWorld,,,,true,Color,Chrome,,,,,,,,,0.0,shopify,28,deny,manual,94.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/541A0240.jpg?v=1717815537,1,,false,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/541A0274.jpg?v=1717815537,kg,,,active
50pc-snap-off-blades-sk5-18mm-with-dispenser,50PC SNAP-OFF BLADES SK5 18MM WITH DISPENSER,"<p><span> </span><span class=""attribute-value"">• Replacement blades for Utility Knives 100mm x 18mm.</span></p>",FaucetWorld,Hardware > Tool Accessories > Tool Blades > Saw Blades,,,true,Title,Default Title,,,,,,,,,0.0,shopify,10,deny,manual,11.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/190022-1-T.jpg?v=1717030343,1,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
hd-utility-knife-18mm-snap-off-blade-10-blades-yellow,HD UTILITY KNIFE 18MM SNAP-OFF BLADE + 10 BLADES YELLOW,"<p><span>• Locking system with wheel. • Stainless steel blade channel. • Extra sharp high-quality blade. • Handle designed for maximum control and comfort. • Made for SK5 Blades (190022; 190028; 190072). • Blade dimensions: 18mm x 10mm.""</span></p>",FaucetWorld,,,,true,Title,Default Title,,,,,,,,,0.0,shopify,20,deny,manual,12.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/190026-1-B.jpg?v=1717030256,1,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
drywall-jab-saw-6in-with-rubber-ergo-grip-handle,DRYWALL JAB SAW 6IN WITH RUBBER ERGO-GRIP HANDLE,"<ul class=""unstyled"">
<li class=""information-attribute""><span class=""attribute-value"">Ideal for cutting drywall &amp; plaster board. </span></li>
<li class=""information-attribute""><span class=""attribute-value"">Designed To Cut By Pushing Or Pulling. </span></li>
<li class=""information-attribute""><span class=""attribute-value"">Sharp Set Teeth For Fast Cutting. </span></li>
<li class=""information-attribute""><span class=""attribute-value"">6in (15cm) blade length delivers rigidity &amp; control. </span></li>
<li class=""information-attribute""><span class=""attribute-value"">Rubber cushion grip handle provides durability &amp; comfort.""</span></li>
<li class=""information-attribute"">
<span class=""attribute-title"">Brand Name :</span><span> </span><span class=""attribute-value"">Tooltech Workbench</span>
</li>
</ul>",FaucetWorld,Hardware > Tools > Saws,,,true,Title,Default Title,,,,,,,,,0.0,shopify,10,deny,manual,6.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/109017-1-B.jpg?v=1717030032,1,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
pencil-carpenter-medium-lead,PENCIL CARPENTER MEDIUM LEAD,<p><span>• Rectangular design • Easy grip • Easy to sharpen</span></p>,FaucetWorld,Office Supplies > Office Instruments > Writing & Drawing Instruments > Pens & Pencils > Pencils,,,true,Title,Default Title,,,,,,,,,0.0,shopify,144,deny,manual,0.65,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/191072-1-B.jpg?v=1717029819,1,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
tape-measure-16ft-5m-x-3-4in-metric-imperial,TAPE MEASURE 16FT (5M) X 3 / 4IN METRIC / IMPERIAL,"<ul class=""unstyled"">
<li class=""information-attribute""><span class=""attribute-value"">Fractional EZ-Mark facilitates reading • Stud markings every 16in • High-contrast black and red graduations for easy readability • Durable high-impact case for long life • Non-slip rubber grip • Rigid; long stand-out blade • S.A.E and Metric • Size: 3/4in x 16ft (5m) &gt;&gt;The Tooltech FatPat Tape Measure has a durable impact-resistant ABS case for longer life. Rigid; long stand-out blade with rubber bumper on blade return to extend blade life. Fractional EZ-Mark facilitates reading with its high-contrast black and red graduations.</span></li>
<li class=""information-attribute"">
<span class=""attribute-title"">Brand Name :</span><span> </span><span class=""attribute-value"">Tooltech FatPat</span>
</li>
</ul>",FaucetWorld,Hardware > Tools > Measuring Tools & Sensors > Tape Measures,,,true,Title,Default Title,,,,,,,,,0.0,shopify,19,deny,manual,5.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/390033-1-B.jpg?v=1717029703,1,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
abs-shower-drain,ABS Shower Drain Chrome,"<ul>
<li><strong>ABS Shower Drain </strong></li>
<li>4″ adjustable stainless steel strainer</li>
<li>Stainless steel screws</li>
<li>Solvent welded body</li>
<li>Alternate square strainer finishes available</li>
<li>Meets<span> </span><strong>cUPC</strong><span> </span>standards</li>
</ul>",FaucetWorld,Hardware > Plumbing > Plumbing Fixture Hardware & Parts > Drains > Shower Drains,,,true,Title,Default Title,,,,,,,,,0.0,shopify,23,deny,manual,18.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/DN-Group-Enterprise-Shower-Drains-Square-and-Round-1.jpg?v=1716865937,1,,false,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
quarter-turn-pex-angled-stop-valve,Quarter Turn PEX Angled Stop Valve,"<p>Quarter Turn Angled Supply Stop</p>
<p>Size: 1/2″ PEX x 1/2″ PEX</p>
<p>Chrome plated, solid brass body</p>
<p>Double O-ring stem</p>
<p>ANSI/NSF 61 and cUPC approved</p>
<p>Lead free compliant, meets AB1953 standards</p>",FaucetWorld,Hardware > Plumbing > Plumbing Fittings & Supports > Plumbing Valves,,,true,Title,Default Title,,,,,,,,,0.0,shopify,150,deny,manual,5.54,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/DN-Group-Enterprise-Quarter-Turn-Chrome-Plated-Angle-Supply-Stop-Ball-Valve-1.jpg?v=1716856634,1,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
quarter-turn-pex-x-od-comp-straight-stop-valve,Quarter Turn PEX x OD Comp Straight Stop Valve,"<p>Quarter Turn Straight Supply Stop</p>
<p>PEX x OD Comp</p>
<p>Chrome plated, solid brass body</p>
<p>Double O-ring stem</p>
<p>ANSI/NSF 61 and cUPC approved</p>
<p>Lead free compliant, meets AB1953 standards</p>",FaucetWorld,Hardware > Plumbing > Plumbing Fittings & Supports > Plumbing Valves,,,true,Title,Default Title,,,,,,,,,0.0,shopify,150,deny,manual,5.54,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/DN-Group-Enterprise-PEX-x-OD-Comp-Quarter-Turn-Chrome-Plated-Straight-Supply-Stop-Ball-Valve-1.0.jpg?v=1716856364,1,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
pex-straight-stop-valve,PEX Straight Stop Valve,"<ul>
<li><strong>Quarter Turn Straight Supply Stop</strong></li>
<li><strong>Size: 1/2″ PEX x 1/2″ PEX</strong></li>
<li>Chrome plated, solid brass body</li>
</ul>",FaucetWorld,Hardware > Plumbing > Plumbing Fittings & Supports > Plumbing Valves,,,true,Title,Default Title,,,,,,,,,0.0,shopify,200,deny,manual,4.43,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/DN-Group-Enterprise-PEX-x-PEX-Quarter-Turn-Chrome-Plated-Straight-Supply-Stop-Ball-Valve-1.1.jpg?v=1715741731,1,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
galvanized-steel-strapping-1-2-25ft,"Galvanized Steel Strapping 1/2 , 25ft","<p><span>Galvanized Steel Strapping 1/2 , 25ft</span></p>",FaucetWorld,Arts & Entertainment > Hobbies & Creative Arts > Musical Instrument & Orchestra Accessories > Brass Instrument Accessories > Brass Instrument Straps & Stands,,,true,Title,Default Title,,,,,,,,,0.0,shopify,20,deny,manual,5.88,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/rn-image_picker_lib_temp_b390fd0e-e64d-4f22-af17-6657e3f33b36.jpg?v=1715738726,1,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
j-clamp-with-nail-100pcs,J-Clamp with Nail 100Pcs,<p><span>J-Clamp with Nail 100Pcs</span></p>,FaucetWorld,Hardware > Plumbing > Plumbing Fittings & Supports > Plumbing Pipe Clamps,,,true,Title,Default Title,,,,,,,,,0.0,shopify,10,deny,manual,6.65,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/rn-image_picker_lib_temp_bb7ef05c-1ec9-4cc5-9513-0a7a516c6302.jpg?v=1715738480,1,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
mpt-x-fpt-brass-adapter,MPT x FPT Brass Adapter,"<p> </p>
<ul>
<li><strong>MPT  x  FPT Brass Adapter</strong></li>
<li>Forged C46500 brass</li>
<li>Suitable for potable water systems</li>
<li><strong>Lead free</strong></li>
</ul>",FaucetWorld,Hardware > Plumbing > Plumbing Fittings & Supports > Pipe Adapters & Bushings,,,true,Title,Default Title,,,,,,,,,0.0,shopify,300,deny,manual,3.10,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/rn-image_picker_lib_temp_08bfadd1-b90d-4bdc-a7dd-1e6082c14623.jpg?v=1715738309,1,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
30-double-door-light-grey,"30″ Solid Wood Vanity with Quartz Countertop , White/Grey","<p>Features:</p>
<ul>
<li>Style: Modern Shaker Design</li>
<li>Colour: Grey Shaker / White</li>
<li>Materials: Solid Wood (A-Grade)</li>
<li>Solid Wood Doors with Plywood Constructed Box</li>
<li>Soft-close Mechanism</li>
<li>Pre-drilled Single-hole Faucet Mount</li>
<li>No Assembly Required. Ready to Install.</li>
</ul>
<p>Included in the Price:</p>
<ul>
<li>Solid Wood Construction Cabinet</li>
<li>Handles ( 4 colors )</li>
<li>Quartz Countertop with Backsplash</li>
<li>Ceramic Undermount Sink</li>
</ul>
<p>Dimensions:</p>
<ul>
<li>Main Cabinet: 30″W x 34 3/4″H x 21 3/4″D</li>
<li>Countertop: 31″W x 3/4″H x 22.5″D</li>
</ul>",FaucetWorld,Furniture > Cabinets & Storage > Vanities,,,true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,515.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/M-20220423105131KU5WL_jpg-1.jpg?v=1715388615,1,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
84-solid-wood-vanity-with-quartz-countertop-double-sink-white,84'' Solid Wood Vanity With Quartz Countertop Double Sink White/Grey,"<ul data-hook=""COLUMNS-INFO-SECTION"" class=""_3RYHT"" dir=""LTR"">
<li class=""_2XJNT _1YJRY _1SQBO"" data-hook=""COLUMNS-INFO-ITEM"">
<h2 class=""TEXT3208227814__ROOT TEXT3208227814---TYPOGRAPHY-11-RUNNINGTEXT TEXT3208227814---PRIORITY-7-PRIMARY S8GG2 _2CJVF INFOSECTIONTITLE3095652555__ROOT"" aria-hidden=""FALSE"" data-hook=""INFO-SECTION-TITLE"">PRODUCT INFO</h2>
<div data-hook=""INFO-SECTION-DESCRIPTION"" class=""WNCCI"">
<p><span>MODEL: JN – VAN84DD-3</span></p>
<p><span>FEATURES:</span></p>
<ul>
<li><span>STYLE: DOUBLE EDGE SHAKER</span></li>
<li><span>COLOUR: WHITE</span></li>
<li><span>MATERIALS: SOLID WOOD (A-GRADE)</span></li>
<li><span>SOLID WOOD DOORS WITH PLYWOOD CONSTRUCTED BOX</span></li>
<li><span>SOLID WOOD DRAWER BOX WITH DOVETAIL CONSTRUCTION</span></li>
<li><span>ADJUSCONCEALED HINGES WITH SOFT-CLOSE MECHANISM</span></li>
<li><span>PRE-DRILLED SINGLE-HOLE FAUCET MOUNT</span></li>
<li><span>NO ASSEMBLY IS REQUIRED. READY TO INSTALL.</span></li>
</ul>
<p><span>INCLUDED IN THE PRICE:</span></p>
<ul>
<li><span>SOLID WOOD CONSTRUCTION CABINET WITH TWO&amp;NBSP; DOORS AND FOUR DRAWERS</span></li>
<li>Hand and knobs available in 4 colors</li>
<li><span>QUARTZ COUNTERTOP WITH BACKSPLASH</span></li>
<li><span>CERAMIC UNDER-MOUNT SINK</span></li>
</ul>
<p><span>DIMENSIONS:</span></p>
<ul>
<li><span>MAIN CABINET: 84″W X 34 1/4″H X 21 3/4″D</span></li>
<li><span>COUNTERTOP: 85″W X 3/4″H X 22.5″D</span></li>
</ul>
</div>
</li>
</ul>",FaucetWorld,Furniture > Cabinets & Storage > Vanities,,,true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,1425.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/rn-image_picker_lib_temp_f484a196-bf32-49f1-9d55-c22967b9f1f2.jpg?v=1715388346,1,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
compression-multi-turn-straight-stop-valve-5-8in-od-x-3-8in-od,COMPRESSION MULTI TURN STRAIGHT STOP VALVE 5 / 8IN OD X 3 / 8IN OD,"<ul class=""unstyled"">
<li class=""information-attribute"">
<span class=""attribute-title"">Features :</span><span> </span><span class=""attribute-value"">• Multi turn • 5/8-Inch compression x 3/8 compression • Chrome plated brass • Lead free • No soldering required &gt;&gt; Streamway fittings by Toolway are the perfect choice for all your plumbing needs. Whether choosing from their innovative push-fit line which makes fitting water lines quick and easy without the need for tools, their line of pex valves and pex fittings or any of their traditional stop valves, you can be sure that these products are built to the highest industry standards.</span>
</li>
<li class=""information-attribute"">
<span class=""attribute-title"">Brand Name :</span><span> </span><span class=""attribute-value"">StreamWay</span>
</li>
</ul>",FaucetWorld,Hardware > Plumbing > Plumbing Fittings & Supports > Plumbing Valves,,,true,Title,Default Title,,,,,,,,,0.0,shopify,70,deny,manual,6.79,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/147007-1-B.jpg?v=1714872750,1,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
compression-multi-turn-angle-stop-valve-5-8in-od-x-3-8in-od,COMPRESSION MULTI TURN ANGLE STOP VALVE 5 / 8IN OD X 3 / 8IN OD,"<ul class=""unstyled"">
<li class=""information-attribute"">
<span class=""attribute-title"">Features :</span><span> </span><span class=""attribute-value"">• Multi turn • 5/8-Inch compression x 3/8 compression • Chrome plated brass • Lead free • No soldering required &gt;&gt; Streamway fittings by Toolway are the perfect choice for all your plumbing needs. Whether choosing from their innovative push-fit line which makes fitting water lines quick and easy without the need for tools, their line of pex valves and pex fittings or any of their traditional stop valves, you can be sure that these products are built to the highest industry standards.</span>
</li>
<li class=""information-attribute"">
<span class=""attribute-title"">Brand Name :</span><span> </span><span class=""attribute-value"">StreamWay</span>
</li>
</ul>",FaucetWorld,Hardware > Plumbing > Plumbing Fittings & Supports > Plumbing Valves,,,true,Title,Default Title,,,,,,,,,0.0,shopify,70,deny,manual,6.79,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/147008-2-B.jpg?v=1714872588,1,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
sweat-multi-turn-angle-stop-valve-in-copper-x-3-8in-od,SWEAT MULTI TURN ANGLE STOP VALVE ½IN COPPER X 3 / 8IN OD,"<ul class=""unstyled"">
<li class=""information-attribute"">
<span class=""attribute-title"">Features :</span><span> </span><span class=""attribute-value"">• Multi turn • 1/2-Inch copper x 3/8-Inch compression • Chrome plated brass • Lead free &gt;&gt; Streamway fittings by Toolway are the perfect choice for all your plumbing needs. Whether choosing from their innovative push-fit line which makes fitting water lines quick and easy without the need for tools, their line of pex valves and pex fittings or any of their traditional stop valves, you can be sure that these products are built to the highest industry standards.</span>
</li>
<li class=""information-attribute"">
<span class=""attribute-title"">Brand Name :</span><span> </span><span class=""attribute-value"">StreamWay</span>
</li>
</ul>",FaucetWorld,Hardware > Plumbing > Plumbing Fittings & Supports > Plumbing Valves,,,true,Title,Default Title,,,,,,,,,0.0,shopify,65,deny,manual,6.70,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0459/9621/2377/files/147006-1-B.jpg?v=1714872400,1,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
